Basalt, 197
Metabasalt, 158
Metabasalt, 66
Metabasalt, 146
Metabasalt, 133
Basalt, 95
Basalt, 115.3
Basalt, 152.4
Metabasalt, 96
Metabasalt, 111
Metabasalt, 71
Metabasalt, 81
Basalt, 75
Basalt, 34
Dacite, 61
Basalt, 87
Dacite, 61
Dacite, 72
Dacite, 65.5
Dacite, 56
Limestone, 117
Limestone, 92
Basalt, 100
Limestone, 91
Limestone, 75
Basalt, 77
Volcanic breccia, 41
Limestone, 120
Basalt + dacite, 94
Basalt, 125
Dacite, 68
Dacite, 66
Basalt, 107
Dacite, 132
Dacite, 87
Dacite, 110
Dacite, 90
